,Topic,Words,Frequency,Timestamp
415,5,"peru, llacta, sitramun, sunat, sunafil",21,2014.8
416,6,"sintraterricentropolar, unete, carabobo, sutraba, girot",8,2014.8
417,7,"assistants, corporations, srci, chile, anercich",15,2014.8
418,8,"hoc, ad, sintrafe, guatemala, msicg",19,2014.8
419,9,"salvador, tsc, conamype, birth, stsel",17,2014.8
420,10,"contracting, supervisors, fesuc, ctc, andina",15,2014.8
421,11,"sindeu, cla, aresep, university, apse",7,2014.8
422,12,"suteco, compilation, mandatory, corrientes, truckers",8,2014.8
423,14,"sinthoresp, fastfood, sindifast, gerais, minas",10,2014.8
424,15,"sinatrae, sinatesa, sitraviam, airport, nurses",2,2014.8
425,16,"astac, une, banana, plantation, ecuador",6,2014.8
426,17,"sunitel, jlca, sitisseg, sutsem, sindilacctm",7,2014.8
427,18,"snis, absorption, tobacco, sat, absorbed",1,2014.8
428,19,"stss, stas, sgjd, andeph, sitraebasar",6,2014.8
429,20,"conamype, sitco, oversight, sitrafos, clause",6,2014.8
430,21,"binational, mtess, sitrapren, entity, yacyret",3,2014.8
431,22,"mitradel, suntracs, panama, conusi, ugt",5,2014.8
432,23,"fesimras, bolivia, cob, ombudsperson, medical",5,2014.8
433,24,"foundation, sinaltrafusm, sintrafodes, sinprofuac, university",4,2014.8
434,25,"asic, cuba, cuban, trips, zaldvar",7,2014.8
435,-1,"sitiamash, smu, mteps, saq, parent",29,2018.4
436,0,"melndez, mtps, fenapes, mayor, aggravated",6,2018.4
437,1,"sinaltralux, acero, palacios, funza, lux",1,2018.4
438,2,"burga, subprefecture, sunafil, isidro, garca",2,2018.4
439,3,"cnea, nuclear, sectoral, apcnean, arn",2,2018.4
440,4,"cntpe, cot, cncf, suttp, pncp",7,2018.4
441,5,"cot, suttp, hereinafter, sunafil, sutracadd",2,2018.4
442,6,"salcedo, hatred, sinstrapescave, whatsapp, aquaculture",3,2018.4
443,7,"offer, stcle, areo, latam, grammatical",1,2018.4
444,8,"gflg, sitra, sintraflgua, sales, corporate",1,2018.4
445,9,"anep, dada, simn, melndez, salvador",3,2018.4
446,10,"fenapes, dges, sinutreapp, ces, sitehostac",12,2018.4
447,11,"sintrajap, limn, sintrastafcor, concession, container",3,2018.4
448,12,"applicability, unduly, sielas, transportation, passengers",1,2018.4
449,14,"pm, clt, mandatory, contributions, contribution",1,2018.4
450,15,"adp, preschool, teaching, stoppages, barahona",1,2018.4
451,16,"ecuador, frenapp, bastidas, ordez, tatamuez",7,2018.4
452,18,"saq, smu, highavailability, surgical, councils",3,2018.4
453,19,"sidunah, unah, sitiamash, guanchias, honduras",4,2018.4
454,20,"arn, sectoral, cnea, finance, apcnean",3,2018.4
455,22,"sitaip, sitraati, drtpo, dgt, mitradel",3,2018.4
456,23,"fdtpsc, mteps, bolivia, oil, parent",2,2018.4
457,29,"dges, fenapes, banners, efd, school",2,2018.4
