,Topic,Words,Frequency,Timestamp
94,15,"dominican, mspero, directorgeneral, casc, undersecretary",4,1968.0
95,16,"ecuador, ecuadorian, aviation, aeronautical, villagmez",4,1968.0
96,17,"firm, embotelladora, count, norte, unwarranted",1,1968.0
97,18,"ute, aute, uruguay, mobilisation, cnt",3,1968.0
98,19,"constraint, manager, warder, banks, constrained",1,1968.0
99,22,"panama, isthmian, christian, fipeso, palmar",6,1968.0
100,23,"bolivia, paz, bolivian, manufacturing, huanuni",4,1968.0
101,27,"unachosin, albuquerque, ensenada, huincul, takeover",2,1968.0
102,-1,"sobrado, chaves, acua, costa, rican",45,1971.6
103,0,"factfinding, ugarte, wftu, chilean, residence",21,1971.6
104,1,"acotv, inravision, cabanzo, avianca, reinoso",7,1971.6
105,2,"avianca, tortoise, sintrava, cabanzo, itf",1,1971.6
106,3,"batalla, argentina, uruguay, burgos, beltrn",8,1971.6
107,4,"poasi, cns, confederations, elections, federations",20,1971.6
108,5,"iglesias, gallin, chimbote, perulac, siderperu",2,1971.6
109,7,"chile, factfinding, chilean, uruguayan, wftu",15,1971.6
110,8,"procession, zimeri, bonin, electrnicas, limitada",4,1971.6
111,9,"aguinana, seg, carranza, fuss, romn",1,1971.6
112,10,"motion, governmentappointed, censure, censured, firm",1,1971.6
113,11,"sitet, costa, devandas, rican, ziga",12,1971.6
114,12,"lillo, intendente, surroundings, lafa, staggering",1,1971.6
115,13,"factfinding, named, textile, ago, fabritex",3,1971.6
116,14,"abdalla, questionnaire, sao, paulo, brazil",5,1971.6
117,15,"dominican, directorgeneral, undersecretary, prd, ugtd",13,1971.6
118,16,"moure, garcia, agrarian, eduardo, foreigners",1,1971.6
119,17,"mexico, palomino, atlixco, danzs, spicer",4,1971.6
120,18,"uruguay, uruguayan, cgtu, invite, directorgenerals",12,1971.6
121,19,"olancho, peasants, talanquera, fcl, league",2,1971.6
122,27,"sinomape, stevedores, poasi, urgent, dockworkers",4,1971.6
123,-1,"onion, telegraphs, telecommunication, girn, liberties",13,1975.2
124,0,"roln, centurin, falkan, fretez, ojeda",13,1975.2
125,1,"mineral, lame, fanal, professioni, icss",5,1975.2
126,2,"brizuela, dairies, sula, contrived, manipulated",1,1975.2
127,3,"palacios, masked, argentina, illtreating, palacioss",3,1975.2
128,4,"poasi, unachosin, romana, preamble, undersecretary",1,1975.2
129,5,"fishermens, cromotex, fishermen, peruvian, peru",7,1975.2
130,8,"florida, consortium, celso, bus, len",3,1975.2
131,9,"salvador, trnsito, industries, carrillo, feccas",10,1975.2
132,11,"stateiv, workersi, hamper, outlined, associationiii",1,1975.2
133,12,"feelings, prohibition, expression, aboved, consists",3,1975.2
134,13,"medrano, ctn, huembes, velarde, ctns",3,1975.2
135,15,"dominican, directorgeneral, undersecretary, prd, ugtd",3,1975.2
136,16,"cedoc, fenetel, ecuador, velasco, ecuadorian",6,1975.2
137,19,"agrarian, brizuela, honduras, sula, preamble",2,1975.2
138,20,"postal, telecommunications, telegraph, corrales, followsemployees",1,1975.2
139,27,"aztra, rafal, assembled, refinery, undersecretary",3,1975.2
140,-1,"egsa, factory, guatemala, cnt, garcia",42,1978.8
141,0,"released, ctn, palomares, seeomc, altesor",63,1978.8
142,1,"fenaltrase, colombia, medellin, gaseosas, colombian",24,1978.8
143,2,"utracat, benefiting, metal, fentrametal, bodywork",5,1978.8
144,3,"meruvia, cossi, micucci, catavi, miss",3,1978.8
145,4,"accord, nonunionised, equal, isaza, conformed",1,1978.8
146,5,"nacin, marciales, banco, cgtp, peru",14,1978.8
147,6,"sutissbolivar, fetrametal, fetrabolivar, sidor, benitez",2,1978.8
148,7,"anef, chile, icftu, roiz, chilean",19,1978.8
149,8,"ancep, atrg, agae, castellanos, garcia",1,1978.8
150,9,"carrillo, salvador, olivo, salvadorian, granja",13,1978.8
151,11,"utracat, stabapari, costa, chiriqui, gimnez",7,1978.8
152,12,"yves, bill, cath, sense, strict",5,1978.8
